Aeg;Meetod;Andmestik;R²(l1);R²(l2);R²(beta);RMSE(l1);RMSE(l2);RMSE(β);Ajakulu(s);Parameetrid
Sun Aug  9 02:12:29 2026;Lineaarne regressioon;Sagedused;0.578227;0.451786;0.446675;0.124664;0.141544;0.08997;0.03
Sun Aug  9 02:12:30 2026;Lineaarne regressioon;16 Haari kordajat;0.735816;0.600416;0.339815;0.098663;0.120843;0.098275;0.04
Sun Aug  9 02:12:30 2026;Lineaarne regressioon;32 Haari kordajat;0.751021;0.609555;0.452565;0.095782;0.119453;0.08949;0.09
Sun Aug  9 02:12:30 2026;Lineaarne regressioon;Sagedused müraga;0.24273;0.406093;0.39998;0.167042;0.147325;0.09369;0.02
Sun Aug  9 02:12:30 2026;Lineaarne regressioon;16 Haari kordajat müraga;0.313367;0.483218;0.058088;0.159061;0.137427;0.117385;0.04
Sun Aug  9 02:12:31 2026;Lineaarne regressioon;32 Haari kordajat müraga;0.560746;0.547122;0.129019;0.127221;0.128649;0.112879;0.08
Sun Aug  9 02:19:51 2026;Otsustusmets;Sagedused;0.997333;0.99227;0.989869;0.009913;0.016807;0.012174;439.9;{'bootstrap': True, 'max_depth': 40, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}
Sun Aug  9 02:32:46 2026;Otsustusmets;16 Haari kordajat;0.998294;0.993362;0.981688;0.007928;0.015576;0.016367;774.76;{'bootstrap': True, 'max_depth': 40, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}
Sun Aug  9 02:57:42 2026;Otsustusmets;32 Haari kordajat;0.997244;0.992969;0.983586;0.010077;0.016029;0.015496;1496.74;{'bootstrap': True, 'max_depth': 40, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}
Sun Aug  9 03:06:41 2026;Otsustusmets;Sagedused müraga;0.250391;0.401339;0.413252;0.166195;0.147914;0.092648;538.93;{'bootstrap': True, 'max_depth': 40, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}
